                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2034,                 1.1062,                 1.2325,                 0.7891,                0.63561,                0.73588,                 0.5041,                 1.0652,                0.85807,                 1.1147,               0.006733,               0.006733,               0.006733
                     36,                 1.1964,                 1.0936,                 1.2289,                0.78002,                0.64137,                0.73695,                0.50482,                 1.0645,                 0.8566,                 1.1144,               0.006634,               0.006634,               0.006634
                     37,                 1.2034,                 1.0949,                  1.235,                0.78556,                0.64062,                0.73778,                0.50585,                  1.063,                0.85479,                 1.1134,               0.006535,               0.006535,               0.006535
                     38,                 1.2031,                  1.098,                 1.2315,                0.78733,                0.63886,                0.73778,                0.50634,                  1.062,                0.85395,                 1.1123,               0.006436,               0.006436,               0.006436
                     39,                  1.193,                 1.0883,                 1.2245,                0.78554,                0.63914,                0.73751,                0.50641,                 1.0614,                0.85273,                 1.1122,               0.006337,               0.006337,               0.006337
                     40,                 1.1936,                 1.0915,                 1.2256,                0.78268,                0.64332,                0.73869,                0.50694,                 1.0597,                0.85211,                 1.1107,               0.006238,               0.006238,               0.006238
                     41,                 1.1999,                 1.0886,                 1.2237,                 0.7837,                0.64322,                 0.7389,                0.50685,                 1.0579,                  0.851,                 1.1095,               0.006139,               0.006139,               0.006139
                     42,                 1.1948,                 1.0836,                 1.2255,                0.78234,                0.64396,                0.73944,                0.50716,                 1.0565,                0.84926,                 1.1079,                0.00604,                0.00604,                0.00604
                     43,                 1.1902,                 1.0803,                 1.2232,                0.78649,                0.64464,                0.74004,                0.50805,                 1.0542,                0.84751,                 1.1063,               0.005941,               0.005941,               0.005941
                     44,                 1.1841,                 1.0785,                 1.2199,                0.78113,                0.64703,                0.73965,                0.50816,                 1.0529,                 0.8456,                 1.1057,               0.005842,               0.005842,               0.005842
                     45,                 1.1842,                 1.0707,                 1.2157,                0.78265,                0.64628,                0.74075,                0.50883,                  1.053,                0.84345,                 1.1051,               0.005743,               0.005743,               0.005743
                     46,                  1.186,                 1.0782,                 1.2196,                0.78182,                 0.6473,                0.74108,                0.50924,                 1.0526,                0.84302,                  1.105,               0.005644,               0.005644,               0.005644
                     47,                 1.1836,                 1.0699,                 1.2181,                0.78262,                0.64684,                0.74107,                0.51004,                 1.0516,                0.84167,                 1.1046,               0.005545,               0.005545,               0.005545
                     48,                 1.1836,                 1.0757,                  1.217,                 0.7808,                0.64947,                0.74162,                0.51074,                 1.0501,                0.84023,                 1.1035,               0.005446,               0.005446,               0.005446
                     49,                 1.1809,                 1.0688,                 1.2167,                0.78093,                0.65129,                0.74208,                0.51118,                 1.0482,                0.83948,                 1.1021,               0.005347,               0.005347,               0.005347
                     50,                 1.1814,                 1.0694,                 1.2165,                0.78052,                0.65232,                0.74286,                0.51215,                 1.0461,                0.83881,                 1.1005,               0.005248,               0.005248,               0.005248
                     51,                   1.17,                 1.0568,                 1.2118,                0.77841,                 0.6525,                0.74312,                0.51252,                 1.0445,                0.83805,                 1.0992,               0.005149,               0.005149,               0.005149
                     52,                 1.1789,                 1.0655,                 1.2161,                0.77912,                0.65361,                0.74357,                0.51229,                 1.0443,                0.83646,                 1.0989,                0.00505,                0.00505,                0.00505
                     53,                 1.1697,                 1.0565,                  1.211,                0.78276,                0.65092,                 0.7439,                0.51253,                 1.0445,                0.83441,                 1.0989,               0.004951,               0.004951,               0.004951
                     54,                 1.1711,                 1.0571,                 1.2091,                0.78457,                0.65086,                 0.7444,                0.51331,                 1.0435,                0.83306,                 1.0981,               0.004852,               0.004852,               0.004852
                     55,                 1.1679,                 1.0516,                 1.2069,                0.79134,                 0.6474,                0.74487,                 0.5142,                 1.0425,                0.83116,                 1.0975,               0.004753,               0.004753,               0.004753
                     56,                 1.1651,                 1.0476,                  1.207,                0.79079,                0.64817,                0.74508,                0.51467,                 1.0412,                0.83046,                 1.0976,               0.004654,               0.004654,               0.004654
                     57,                 1.1617,                 1.0404,                 1.2073,                  0.789,                0.64921,                 0.7454,                0.51539,                 1.0397,                0.83006,                 1.0969,               0.004555,               0.004555,               0.004555
                     58,                 1.1672,                 1.0439,                 1.2059,                0.78411,                0.65176,                0.74576,                0.51614,                 1.0391,                 0.8285,                 1.0964,               0.004456,               0.004456,               0.004456
                     59,                 1.1574,                 1.0403,                 1.2012,                0.78584,                0.65129,                0.74606,                0.51671,                 1.0385,                0.82747,                 1.0961,               0.004357,               0.004357,               0.004357
                     60,                 1.1556,                 1.0318,                    1.2,                0.78126,                0.65371,                0.74706,                0.51713,                 1.0368,                0.82534,                 1.0948,               0.004258,               0.004258,               0.004258
                     61,                 1.1576,                 1.0334,                 1.1994,                0.78331,                0.65426,                0.74792,                0.51781,                 1.0361,                0.82254,                 1.0939,               0.004159,               0.004159,               0.004159
                     62,                 1.1527,                 1.0319,                 1.1993,                0.77987,                0.65937,                0.74864,                0.51851,                 1.0347,                0.81943,                 1.0929,                0.00406,                0.00406,                0.00406
                     63,                 1.1487,                 1.0273,                 1.1957,                 0.7905,                0.65343,                0.74897,                0.51929,                 1.0351,                0.81896,                 1.0921,               0.003961,               0.003961,               0.003961
                     64,                 1.1516,                  1.027,                 1.1958,                0.78811,                0.65299,                0.74898,                0.51964,                 1.0345,                0.81879,                 1.0914,               0.003862,               0.003862,               0.003862
                     65,                 1.1478,                 1.0226,                 1.1961,                0.79336,                0.65157,                0.74959,                0.51992,                 1.0331,                 0.8171,                 1.0901,               0.003763,               0.003763,               0.003763
